sustancia,e_number,doi,titulo,archivo_destino,descargado
Glycerol,E422,10.2903/j.efsa.2022.7353,Follow-up of the re-evaluation of glycerol (E 422) as a food additive,E422_10.2903_j.efsa.2022.7353.pdf,
Glycerol esters of wood rosins (GEWR),E445,10.2903/j.efsa.2023.8110,Follow-up of the re-evaluation of glycerol esters of wood rosins (E 445) as a food additive,E445_10.2903_j.efsa.2023.8110.pdf,
"Indigotine, Indigo carmine",E132,10.2903/j.efsa.2023.8103,Follow-up of the re-evaluation of indigo carmine (E 132) as a food additive,E132_10.2903_j.efsa.2023.8103.pdf,
Polyglycerol esters of fatty acids (E 475),E475,10.2903/j.efsa.2022.7308,Follow-up of the re-evaluation of polyglycerol esters of fatty acids (E 475) as a food additive,E475_10.2903_j.efsa.2022.7308.pdf,
Polyglycerol polyricinoleate,E476,10.2903/j.efsa.2022.7294,Follow-up of the re-evaluation of polyglycerol polyricinoleate (E 476) as a food additive,E476_10.2903_j.efsa.2022.7294.pdf,
Silver (Ag),E174,10.2903/j.efsa.2025.9316,Follow-up of the re-evaluation of silver (E 174) as a food additive (EFSA-Q-2023-00169),E174_10.2903_j.efsa.2025.9316.pdf,
"Disodium 5-acetylamino-4-hydroxy-3-(phenylazo)naphthalene-2,7-disulphonate",E128,10.2903/j.efsa.2007.515,"Opinion of the Scientific Panel on Food Additives, Flavourings, Processing Aids and Materials in Contact with Food on the food colour Red 2G (E128) based on a request from the Commission related to the re-evaluation of all permitted food additives",E128_10.2903_j.efsa.2007.515.pdf,
Potassium sorbate; Sorbic acid,E200; E202,10.2903/j.efsa.2019.5625,Opinion on the follow-up of the re-evaluation of sorbic acid (E200) and potassium sorbate (E202) as food additives,E200-E202_10.2903_j.efsa.2019.5625.pdf,
Gum arabic (acacia gum),E414,10.2903/j.efsa.2019.5922,Opinion on the re-evaluation of acacia gum (E 414) as a food additive in foods for infants below 16 weeks of age and the follow-up of its re-evaluation as a food additive for uses in foods for all population groups,E414_10.2903_j.efsa.2019.5922.pdf,
Ascorbyl palmitate,E304I,10.2903/j.efsa.2020.6153,Opinion on the re-evaluation of ascorbyl palmitate (E 304i) as a food additive in foods for infants below 16 weeks of age and the follow-up of its re-evaluation as a food additive for uses in foods for all population groups,E304I_10.2903_j.efsa.2020.6153.pdf,
Lecithins,E322,10.2903/j.efsa.2020.6266,Opinion on the re-evaluation of lecithins (E 322) as a food additive in foods for infants below 16 weeks of age and follow-up of its re-evaluation as food additive for uses in foods for all population groups,E322_10.2903_j.efsa.2020.6266.pdf,
Sodium carboxymethyl cellulose,E466,10.2903/j.efsa.2022.7665,Opinion on the re-evaluation of sodium carboxy methyl cellulose (E 466) as a food additive in foods for infantsbelow 16 weeks of age and follow-up of its re-evaluation asfood additive for uses in foods for all population groups,E466_10.2903_j.efsa.2022.7665.pdf,
Starch sodium octenyl succinate,E1450,10.2903/j.efsa.2020.5874,Opinion on the re-evaluation of starch sodium octenyl succinate (E 1450) as a food additive in foods for infants below 16 weeks of age and the follow-up of its re-evaluation as a food additive for uses in foods for all population groups,E1450_10.2903_j.efsa.2020.5874.pdf,
Beta-cyclodextrin,E459,10.2903/j.efsa.2016.4628,Re-evaluation of Beta-cyclodextrin (E 459) as a food additive,E459_10.2903_j.efsa.2016.4628.pdf,
Potassium acid tartrate; Sodium tartrates; Calcium tartrate; Tartaric acid (L(+)-); Monosodium tartrate; Sodium potassium tartrate; Potassium tartrates,E334; E335; E336; E337; E354,10.2903/j.efsa.2020.6030,"Re-evaluation of L(+)-tartaric acid (E 334), sodium tartrates (E 335), potassium tartrates (E 336), potassium sodium tartrate (E 337) and calcium tartrate (E 354) as food additives",E334-E335-E336-E337-E354_10.2903_j.efsa.2020.6030.pdf,
Quillaia extract,E999,10.2903/j.efsa.2019.5622,Re-evaluation of Quillaia extract (E 999) as a food additive and safety of the proposed extension of use,E999_10.2903_j.efsa.2019.5622.pdf,
Gum arabic (acacia gum),E414,10.2903/j.efsa.2017.4741,Re-evaluation of acacia gum (E 414) as a food additive,E414_10.2903_j.efsa.2017.4741.pdf,
Acesulfame K,E950,10.2903/j.efsa.2025.9317,Re-evaluation of acesulfame K (E 950) as food additive,E950_10.2903_j.efsa.2025.9317.pdf,
Acetic acid esters of mono- and diglycerides of fatty acids; Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids; Mono- and diacetyl tartaric acid esters of mono- and diglycerides of fatty acids; Lactic acid esters of mono- and diglycerides of fatty acids; Citric acid esters of mono- and diglycerides of fatty acids; Tartaric acid esters of mono- and diglycerides of fatty acids,E472A,10.2903/j.efsa.2020.6032,"Re-evaluation of acetic acid, lactic acid, citric acid, tartaric acid, mono- and diacetyltartaric acid, mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids (E 472a-f) as food additives",E472A_10.2903_j.efsa.2020.6032.pdf,
Alginic acid; Potassium alginate; Calcium alginate; Ammonium alginate; Sodium alginate,E400; E404,10.2903/j.efsa.2017.5049,"Re-evaluation of alginic acid and its sodium, potassium, ammonium and calcium salts (E 400-E 404) as food additives",E400-E404_10.2903_j.efsa.2017.5049.pdf,
Aluminium ammonium sulphate dodecahydrate; Aluminium potassium sulphate; Aluminium sulphate; Sodium aluminium phosphate acidic; Aluminium sodium sulphate,E520; E541,10.2903/j.efsa.2018.5372,Re-evaluation of aluminium sulphates (E 520-523) and sodium aluminium phosphate (E 541) as food additives,E520-E541_10.2903_j.efsa.2018.5372.pdf,
Benzyl alcohol,E1519,10.2903/j.efsa.2019.5876,Re-evaluation of benzyl alcohol (E 1519) as food additive,E1519_10.2903_j.efsa.2019.5876.pdf,
Isobutane,E943A; E943B; E944,10.2903/j.efsa.2025.9203,"Re-evaluation of butane (E 943a), isobutane (E 943b) and propane (E 944) as food additives",E943A-E943B-E944_10.2903_j.efsa.2025.9203.pdf,
Calcium carbonate,E170,10.2903/j.efsa.2023.8106,Re-evaluation of calcium carbonate (E 170) as a food additive in foods for infants below 16 weeks of age and follow-up of its re-evaluation as food additive for uses in foods for all population groups,E170_10.2903_j.efsa.2023.8106.pdf,
Talc; Calcium silicate; Magnesium trisilicate; Magnesium silicate,E552; E553A; E553B,10.2903/j.efsa.2018.5375,"Re-evaluation of calcium silicate (E 552), magnesium silicate (E 553a(i)), magnesium trisilicate (E 553a(ii)) and talc (E 553b) as food additives",E552-E553A-E553B_10.2903_j.efsa.2018.5375.pdf,
Processed euchema seaweed; Carrageenan,E407; E407A,10.2903/j.efsa.2018.5238,Re-evaluation of carrageenan (E 407) and processed Eucheuma seaweed (E 407a) as food additives,E407-E407A_10.2903_j.efsa.2018.5238.pdf,
Cross-linked sodium carboxy methyl cellulose; Sodium carboxymethyl cellulose; Enzymatically hydrolysed carboxy methyl cellulose; Methyl cellulose; Ethyl methyl cellulose; Ethyl cellulose; Powdered cellulose; Hydroxypropyl methyl cellulose; Hydroxypropyl cellulose; Cellulose,E460; E461; E462; E463; E464; E465; E466; E468; E469,10.2903/j.efsa.2018.5047,"Re-evaluation of celluloses E 460(i), E 460(ii), E 461, E 462, E 463, E 464, E 465, E 466, E 468 and E 469 as food additives",E460-E461-E462-E463-E464-E465-E466-E468-E469_10.2903_j.efsa.2018.5047.pdf,
Citric acid esters of mono- and diglycerides of fatty acids,E472C,10.2903/j.efsa.2025.9202,Re-evaluation of citric acid esters of mono- and diglycerides of fatty acids (E 472c) as a food additive in foods for infants below 16 weeks of age and follow-up of its re-evaluation,E472C_10.2903_j.efsa.2025.9202.pdf,
Dimethyl polysiloxane,E900,10.2903/j.efsa.2020.6107,Re-evaluation of dimethyl polysiloxane (E 900) as a food additive,E900_10.2903_j.efsa.2020.6107.pdf,
Erythritol,E968,10.2903/j.efsa.2023.8430,Re-evaluation of erythritol (E 968) as a food additive,E968_10.2903_j.efsa.2023.8430.pdf,
Gellan gum,E418,10.2903/j.efsa.2018.5296,Re-evaluation of gellan gum (E 418) as food additive,E418_10.2903_j.efsa.2018.5296.pdf,
Monopotassium L-glutamate; Calcium di-L-glutamate; Magnesium diglutamate; Glutamic acid; Monoammonium L-glutamate; Monosodium L-Glutamate,E620; E621; E622; E623; E624; E625,10.2903/j.efsa.2017.4910,"Re-evaluation of glutamic acid (E 620), sodium glutamate (E 621), potassium glutamate (E 622), calcium glutamate (E 623), ammonium glutamate (E 624) and magnesium glutamate (E 625) as food additives",E620-E621-E622-E623-E624-E625_10.2903_j.efsa.2017.4910.pdf,
Glycerol; 3-MCPDs,E422,10.2903/j.efsa.2017.4720,Re-evaluation of glycerol (E 422) as a food additive,E422_10.2903_j.efsa.2017.4720.pdf,
Glycerol esters of wood rosin (GEWR) from Pinus halepensis and Pinus brutia; Glycerol esters of wood rosin (GEWR) from Pinus palustris and Pinus elliottii,E445,10.2903/j.efsa.2018.5370,Re-evaluation of glycerol esters of wood rosin (E 445) as a food additive,E445_10.2903_j.efsa.2018.5370.pdf,
Guar gum,E412,10.2903/j.efsa.2017.4669,Re-evaluation of guar gum (E 412) as a food additive,E412_10.2903_j.efsa.2017.4669.pdf,
